id,title,salary_from,salary_to,currency,town,experience,info,firm_name,url,platform
1,Python Backend Developer,110000,,rub,Москва,От 1 года до 3 лет,"Требования: Опыт написания кода на Django (+ DRF) от 2х лет. Понимание способов оптимизации SQL запросов к БД.  Ответственность: Разработка серверной части. Проектирование архитектуры кода, проведение грумминг сессий с командой. Написание свежего и чистого кода, никакого легаси (все пишется...",O.dev,https://hh.ru/vacancy/85778361,HeadHunter
2,Python developer,,,,Москва,От 1 года до 3 лет,Требования: Коммерческий опыт разработки на Python на фреймворках Aiohttp/ Aioamqp – от 3 лет. Понимание базовых принципов работы API. Отличное понимание ООП.  Ответственность: Анализ API-сторонних сервисов и доработка собственных. Реализация stateless микросервисов. Разработка внутренних библиотек. Оптимизация узких мест в основной архитектуре продукта.,CoMagic.dev,https://hh.ru/vacancy/84509350,HeadHunter
3,Технический Директор (Chief Technical Officer),400000,700000,rub,Москва,От 3 до 6 лет,"Требования: ...человек с полным циклом в сфере разработки DevOps, Dev Back Dev Front, Dev Mobile, Testing, Project management team members.  Ответственность: Быстрый аудит команд и докомплектация под стоящие задачи. Построение прозрачной системы формирования релизов продуктов и работы команды. Полноценное внедрение процесса...",Дэстэн Партнерс,https://hh.ru/vacancy/85665175,HeadHunter
4,Python бэкенд-разработчик,100000,160000,rub,Москва,От 1 года до 3 лет,"Требования: Уверенное владение Python и Django (начиная c 3.0). Postgres/MySQL. Придерживаться PEP 8. DRF. Push Notification, Firebase API.  Ответственность: Разработка бэкенда на Python 3 для мобильных приложений и вэб-сервисов. Разработка административной панели. Настройка рабочего окружения (dev, stage, prod...",Фрукторум,https://hh.ru/vacancy/84960294,HeadHunter
5,Middle QA Engineer (ЕАС),,,,Москва,От 1 года до 3 лет,"Требования: Имеет опыт создания тест планов, чек-листов. Знает методологии и виды тестирования, техники тест-дизайна. Умеет читать и анализировать большие... Ответственность: Проводить ручное функциональное тестирование (front/back-end). Составлять отчет о результатах тестирования, заводить дефекты в bug-tracking систему, подготавливать ПМИ. ",Почтатех,https://hh.ru/vacancy/84294868,HeadHunter
6,DevOps / Системный инженер,130000,180000,rub,Москва,От 1 года до 3 лет,"Требования: Понимание TCP/IP, OSI. Опыт с git. Знание Python. Опыт работы с локальным docker registry без UI. GET/POST запросы... Ответственность: ...стандартных компонентов Linux, администрирование, мониторинг, диагностика серверов под управлением Linux. Настройка nginx и apache. Разворачивание и поддержка сред DEV, QA.",Передовые Технологии,https://hh.ru/vacancy/85999481,HeadHunter
7,Middle+ Python (FastAPI) разработчик в технологичную девелоперскую компанию,200000,280000,rub,Москва,От 3 до 6 лет,"Требования: Больше 3 лет опыта на Python. Опыт с FastAPI более 1,5 лет. Вы также работаете с Redis, Celery, Pydantic... Ответственность: Разрабатывать на Python с использованием FastAPI. Работать над новыми проектами. Проводить Code review. Оценивать и декомпозировать задачи.",Remokate,https://hh.ru/vacancy/86047762,HeadHunter
8,Product Manager Onboarding,,,,Москва,От 1 года до 3 лет,"Требования: Опыт в роли продуктового менеджера от 1 года, либо похожий опыт в роли бизнес-аналитика, проджект-менеджера от 3 лет.  Ответственность: Общение и совместная работа с командами операционного бизнеса. Проведение качественных и количественных исследований, частые интервью, UX-тестирования, активная работа с...",CoMagic.dev,https://hh.ru/vacancy/83806120,HeadHunter
9,"Инженер систем мониторинга, SRE",,,,Москва,От 1 года до 3 лет,"Требования: Понимание методологий USE,4 golden signals. Опыт написания скриптов на языках python или bash. Опыт написания SQL запросов.  Ответственность: Мониторинг высоконагруженных сервисов Mission Critical. Построение дашбордов в системе визуализации Grafana. Разработка новых инструментов мониторинга. Развитие мониторинга от dev до...",СБЕР,https://hh.ru/vacancy/85903305,HeadHunter
10,DevOps specialist,,,,Москва,От 3 до 6 лет,"Требования: Хорошее знание сетей и основных сетевых протоколов. Опыт работы с Kubernetes, Docker/Harbor, Argo CD /Helm. Чтение кода на Python... Ответственность: Обеспечение непрерывной работы всей инфраструктуры, поддержка и обслуживание инфраструктурных сервисов. CI/CD – поддержка/развитие, перевод существующих сервисов на новые CI...",CoMagic.dev,https://hh.ru/vacancy/82931752,HeadHunter
